epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.787,1.47918,2.95142,1.32065,0,0,0,0,nan,nan,nan,0.00065,0.00065,0.00065
2,451.898,2.04025,2.51605,1.69876,0,0,0,0,nan,nan,nan,0.00128408,0.00128408,0.00128408
3,655.238,1.94318,2.25082,1.65115,0,0,0,0,nan,nan,nan,0.00188516,0.00188516,0.00188516
4,810.594,2.08839,2.32931,1.67571,0,0,0,0,0,0.26432,0,0.0018515,0.0018515,0.0018515
5,977.616,1.97456,2.17176,1.67774,0.47463,0.19699,0.18763,0.10715,1.74471,45.9734,1.37337,0.001802,0.001802,0.001802
6,1130.19,1.85653,2.18831,1.63307,0.72157,0.17949,0.20102,0.11878,1.46654,2.37562,1.16455,0.0017525,0.0017525,0.0017525
7,1284.13,1.80744,1.95218,1.59071,0,0,0,0,nan,nan,nan,0.001703,0.001703,0.001703
8,1452.36,1.7619,1.83861,1.52013,0.96493,0.21795,0.22789,0.15185,1.36076,3.04204,1.14306,0.0016535,0.0016535,0.0016535
9,1611.19,1.76106,1.91237,1.51554,0.92662,0.20513,0.23805,0.14026,1.37048,1.99157,1.06761,0.001604,0.001604,0.001604
10,1766.64,1.70529,1.57642,1.47278,0.82574,0.21795,0.23973,0.16772,1.16465,8.76007,1.05043,0.0015545,0.0015545,0.0015545
11,1920.7,1.67085,1.58304,1.46193,0.99129,0.23077,0.25642,0.20394,1.007,1.15934,0.88236,0.001505,0.001505,0.001505
12,2092.8,1.61119,1.53004,1.43415,0.98693,0.24359,0.2909,0.17643,1.41089,1.288,1.08241,0.0014555,0.0014555,0.0014555
13,2263.45,1.56982,1.51523,1.39339,0.81445,0.25641,0.30062,0.20705,1.03819,1.03843,0.93235,0.001406,0.001406,0.001406
14,2446.05,1.59144,1.50778,1.42408,0.8989,0.28205,0.37151,0.23771,1.1661,1.15573,0.93928,0.0013565,0.0013565,0.0013565
15,2618.35,1.53715,1.43423,1.37296,0.85992,0.26923,0.30879,0.2142,1.21154,1.46595,0.9843,0.001307,0.001307,0.001307
16,2791.17,1.56569,1.3757,1.37285,0.99637,0.25641,0.28079,0.21204,0.9896,5.4048,0.8908,0.0012575,0.0012575,0.0012575
17,2969.32,1.51363,1.28874,1.36958,0.95624,0.28024,0.32496,0.22069,1.07271,2.3548,0.8947,0.001208,0.001208,0.001208
18,3147.76,1.48866,1.25282,1.32585,0.80845,0.52564,0.55587,0.28779,1.12299,0.79649,0.8988,0.0011585,0.0011585,0.0011585
19,3321.6,1.45397,1.26236,1.34066,0.75401,0.35897,0.38756,0.22928,1.04568,0.83309,0.91921,0.001109,0.001109,0.001109
20,3503.94,1.47425,1.22065,1.30904,0.87223,0.35018,0.4642,0.27079,1.11801,0.84676,0.88325,0.0010595,0.0010595,0.0010595
21,3670.53,1.45199,1.15959,1.29468,0.84426,0.33333,0.39001,0.26815,1.01236,1.376,0.84942,0.00101,0.00101,0.00101
22,3840.58,1.41385,1.12645,1.27069,0.99003,0.39744,0.44561,0.27374,1.20783,3.24601,0.91582,0.0009605,0.0009605,0.0009605
23,4002.3,1.42082,1.07834,1.29113,0.86927,0.5968,0.66271,0.36004,0.9729,0.63916,0.82294,0.000911,0.000911,0.000911
24,4165.21,1.30807,0.96259,1.19128,0.86396,0.67949,0.7239,0.39144,1.02593,0.68773,0.83756,0.0008615,0.0008615,0.0008615
25,4331.79,1.30289,0.93007,1.20633,0.85143,0.51435,0.6519,0.37952,0.9986,0.72658,0.85097,0.000812,0.000812,0.000812
26,4492.22,1.3336,0.96912,1.2325,0.89868,0.56861,0.65202,0.39306,0.93025,0.6956,0.80454,0.0007625,0.0007625,0.0007625
27,4657.99,1.2994,0.94082,1.18686,0.88435,0.62821,0.6896,0.38238,0.86484,0.56917,0.79424,0.000713,0.000713,0.000713
28,4817.85,1.30441,0.95476,1.23414,0.95116,0.49935,0.60236,0.35536,0.92202,0.64378,0.82309,0.0006635,0.0006635,0.0006635
29,4992.85,1.28952,0.9118,1.21816,0.93141,0.66667,0.73048,0.41708,0.87984,0.61447,0.8029,0.000614,0.000614,0.000614
30,5160.72,1.20974,0.85864,1.18334,0.91645,0.60256,0.69548,0.37875,0.98553,0.58584,0.83032,0.0005645,0.0005645,0.0005645
31,5376.46,1.17215,0.80327,1.18272,0.98228,0.71092,0.7743,0.43391,0.9211,0.51275,0.81502,0.000515,0.000515,0.000515
32,5534.96,1.23847,0.85286,1.19006,0.90832,0.71795,0.78727,0.45944,0.90647,0.5477,0.817,0.0004655,0.0004655,0.0004655
33,5705.46,1.20517,0.77121,1.19158,0.9031,0.5975,0.69983,0.39202,0.90891,0.62174,0.80632,0.000416,0.000416,0.000416
34,5873.8,1.14681,0.73285,1.18315,0.89508,0.71795,0.77934,0.43157,0.94187,0.50151,0.80784,0.0003665,0.0003665,0.0003665
35,6057.45,1.16529,0.73538,1.17518,0.92113,0.64103,0.70996,0.39894,0.93464,0.56556,0.80404,0.000317,0.000317,0.000317
36,6214.77,1.14717,0.6819,1.16087,0.89897,0.68451,0.76351,0.45267,0.83788,0.48599,0.79517,0.0002675,0.0002675,0.0002675
37,6390.95,1.08059,0.64704,1.1463,0.90728,0.75277,0.80124,0.46051,0.80838,0.46222,0.78916,0.000218,0.000218,0.000218
38,6579.08,1.0818,0.64751,1.14147,0.88763,0.70513,0.78537,0.4547,0.78565,0.48116,0.77881,0.0001685,0.0001685,0.0001685
39,6752.94,1.05452,0.64369,1.10389,0.94078,0.71795,0.79552,0.48043,0.78589,0.46416,0.7785,0.000119,0.000119,0.000119
40,6910.04,1.07136,0.64003,1.12266,0.95673,0.70513,0.82972,0.47416,0.78037,0.47199,0.78134,6.95e-05,6.95e-05,6.95e-05
